Año,Tipo.de.Delito,Incidencia
2019,Otros delitos contra la sociedad,15
2019,Otros delitos del Fuero Común,216
2019,Otros delitos que atentan contra la libertad personal,80
2019,Otros delitos que atentan contra la libertad y la seguridad sexual,4
2019,Otros delitos que atentan contra la vida y la integridad corporal,0
2019,Rapto,0
2019,Robo,1556
2019,Secuestro,0
2019,Trata de personas,0
2019,Tráfico de menores,0
2019,Violación equiparada,2
2019,Violación simple,31
2019,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2019,Violencia familiar,604
2020,Aborto,2
2020,Abuso de confianza,181
2020,Abuso sexual,68
2020,Acoso sexual,0
2020,Allanamiento de morada,51
2020,Amenazas,930
2020,Contra el medio ambiente,0
2020,Corrupción de menores,5
2020,Daño a la propiedad,776
2020,Delitos cometidos por servidores públicos,52
2020,Despojo,122
2020,Electorales,0
2020,Evasión de presos,0
2020,Extorsión,31
2020,Falsedad,7
2020,Falsificación,36
2020,Feminicidio,3
2020,Fraude,291
2020,Homicidio,310
2020,Hostigamiento sexual,7
2020,Incesto,0
2020,Incumplimiento de obligaciones de asistencia familiar,143
2020,Lesiones,392
2020,Narcomenudeo,332
2020,Otros delitos contra el patrimonio,45
2020,Otros delitos contra la familia,0
2020,Otros delitos contra la sociedad,26
2020,Otros delitos del Fuero Común,176
2020,Otros delitos que atentan contra la libertad personal,106
2020,Otros delitos que atentan contra la libertad y la seguridad sexual,6
2020,Otros delitos que atentan contra la vida y la integridad corporal,0
2020,Rapto,0
2020,Robo,1236
2020,Secuestro,3
2020,Trata de personas,0
2020,Tráfico de menores,0
2020,Violación equiparada,3
2020,Violación simple,42
2020,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2020,Violencia familiar,911
2021,Aborto,0
2021,Abuso de confianza,151
2021,Abuso sexual,87
2021,Acoso sexual,0
2021,Allanamiento de morada,64
2021,Amenazas,911
2021,Contra el medio ambiente,0
2021,Corrupción de menores,5
2021,Daño a la propiedad,987
2021,Delitos cometidos por servidores públicos,34
2021,Despojo,128
2021,Electorales,3
2021,Evasión de presos,0
2021,Extorsión,35
2021,Falsedad,19
2021,Falsificación,84
2021,Feminicidio,2
2021,Fraude,311
2021,Homicidio,249
2021,Hostigamiento sexual,23
2021,Incesto,0
2021,Incumplimiento de obligaciones de asistencia familiar,151
2021,Lesiones,443
2021,Narcomenudeo,761
2021,Otros delitos contra el patrimonio,60
2021,Otros delitos contra la familia,0
2021,Otros delitos contra la sociedad,15
2021,Otros delitos del Fuero Común,197
2021,Otros delitos que atentan contra la libertad personal,116
2021,Otros delitos que atentan contra la libertad y la seguridad sexual,9
2021,Otros delitos que atentan contra la vida y la integridad corporal,0
2021,Rapto,0
2021,Robo,1684
2021,Secuestro,1
2021,Trata de personas,0
2021,Tráfico de menores,0
2021,Violación equiparada,0
2021,Violación simple,56
2021,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2021,Violencia familiar,1058
2022,Aborto,3
2022,Abuso de confianza,210
2022,Abuso sexual,132
2022,Acoso sexual,0
2022,Allanamiento de morada,67
2022,Amenazas,1027
2022,Contra el medio ambiente,1
2022,Corrupción de menores,10
2022,Daño a la propiedad,1147
2022,Delitos cometidos por servidores públicos,29
2022,Despojo,118
2022,Electorales,0
2022,Evasión de presos,0
2022,Extorsión,45
2022,Falsedad,18
2022,Falsificación,50
2022,Feminicidio,10
2022,Fraude,294
2022,Homicidio,189
2022,Hostigamiento sexual,9
2022,Incesto,0
2022,Incumplimiento de obligaciones de asistencia familiar,126
2022,Lesiones,509
2022,Narcomenudeo,1116
2022,Otros delitos contra el patrimonio,54
2022,Otros delitos contra la familia,0
2022,Otros delitos contra la sociedad,30
2022,Otros delitos del Fuero Común,244
2022,Otros delitos que atentan contra la libertad personal,86
2022,Otros delitos que atentan contra la libertad y la seguridad sexual,12
2022,Otros delitos que atentan contra la vida y la integridad corporal,0
2022,Rapto,0
2022,Robo,1672
2022,Secuestro,2
2022,Trata de personas,0
2022,Tráfico de menores,0
2022,Violación equiparada,0
2022,Violación simple,45
2022,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2022,Violencia familiar,1117
2023,Aborto,0
2023,Abuso de confianza,125
2023,Abuso sexual,131
2023,Acoso sexual,18
2023,Allanamiento de morada,55
2023,Amenazas,811
2023,Contra el medio ambiente,1
2023,Corrupción de menores,7
2023,Daño a la propiedad,1184
2023,Delitos cometidos por servidores públicos,12
2023,Despojo,80
2023,Electorales,0
2023,Evasión de presos,0
2023,Extorsión,21
2023,Falsedad,21
2023,Falsificación,17
2023,Feminicidio,14
2023,Fraude,293
2023,Homicidio,266
2023,Hostigamiento sexual,5
2023,Incesto,0
2023,Incumplimiento de obligaciones de asistencia familiar,158
2023,Lesiones,461
2023,Narcomenudeo,1171
2023,Otros delitos contra el patrimonio,70
2023,Otros delitos contra la familia,0
2023,Otros delitos contra la sociedad,24
2023,Otros delitos del Fuero Común,208
2023,Otros delitos que atentan contra la libertad personal,91
2023,Otros delitos que atentan contra la libertad y la seguridad sexual,9
2023,Otros delitos que atentan contra la vida y la integridad corporal,0
2023,Rapto,0
2023,Robo,1462
2023,Secuestro,2
2023,Trata de personas,0
2023,Tráfico de menores,0
2023,Violación equiparada,0
2023,Violación simple,32
2023,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2023,Violencia familiar,1019
2024,Aborto,1
2024,Abuso de confianza,136
2024,Abuso sexual,98
2024,Acoso sexual,37
2024,Allanamiento de morada,50
2024,Amenazas,865
2024,Contra el medio ambiente,1
2024,Corrupción de menores,8
2024,Daño a la propiedad,1194
2024,Delitos cometidos por servidores públicos,5
2024,Despojo,109
2024,Electorales,6
2024,Evasión de presos,0
2024,Extorsión,28
2024,Falsedad,9
2024,Falsificación,15
2024,Feminicidio,1
2024,Fraude,383
2024,Homicidio,308
2024,Hostigamiento sexual,6
2024,Incesto,0
2024,Incumplimiento de obligaciones de asistencia familiar,143
2024,Lesiones,539
2024,Narcomenudeo,891
2024,Otros delitos contra el patrimonio,91
2024,Otros delitos contra la familia,0
2024,Otros delitos contra la sociedad,40
2024,Otros delitos del Fuero Común,329
2024,Otros delitos que atentan contra la libertad personal,58
2024,Otros delitos que atentan contra la libertad y la seguridad sexual,10
2024,Otros delitos que atentan contra la vida y la integridad corporal,0
2024,Rapto,0
2024,Robo,1325
2024,Secuestro,3
2024,Trata de personas,0
2024,Tráfico de menores,0
2024,Violación equiparada,0
2024,Violación simple,46
2024,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2024,Violencia familiar,1110
2025,Aborto,3
2025,Abuso de confianza,90
2025,Abuso sexual,93
2025,Acoso sexual,22
2025,Allanamiento de morada,42
2025,Amenazas,881
2025,Contra el medio ambiente,1
2025,Corrupción de menores,14
2025,Daño a la propiedad,962
2025,Delitos cometidos por servidores públicos,6
2025,Despojo,83
2025,Electorales,0
2025,Evasión de presos,0
2025,Extorsión,30
2025,Falsedad,18
2025,Falsificación,23
2025,Feminicidio,1
2025,Fraude,349
2025,Homicidio,253
2025,Hostigamiento sexual,13
2025,Incesto,0
2025,Incumplimiento de obligaciones de asistencia familiar,181
2025,Lesiones,470
2025,Narcomenudeo,970
2025,Otros delitos contra el patrimonio,71
2025,Otros delitos contra la familia,0
2025,Otros delitos contra la sociedad,41
2025,Otros delitos del Fuero Común,412
2025,Otros delitos que atentan contra la libertad personal,55
2025,Otros delitos que atentan contra la libertad y la seguridad sexual,11
2025,Otros delitos que atentan contra la vida y la integridad corporal,0
2025,Rapto,0
2025,Robo,1042
2025,Secuestro,1
2025,Trata de personas,0
2025,Tráfico de menores,0
2025,Violación equiparada,0
2025,Violación simple,34
2025,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2025,Violencia familiar,1062
